objectname;uid_list;comparing_field;where_clause;cleanup
MAXVARS;MAXVARSID;;;cleanup
MAXVARTYPE;MAXVARTYPEID;;;cleanup
MAXUSER;MAXUSERID;;userid='MAXADMIN';cleanup
PERSON;PERSONID;;personid='MAXADMIN';cleanup
GROUPUSER;GROUPUSERID;;groupname in('MAXADMIN', 'MAXEVERYONE');cleanup
MAXGROUP;MAXGROUPID;;groupname in('MAXADMIN', 'MAXEVERYONE');cleanup
APPLICATIONAUTH;APPLICATIONAUTHID;;groupname in('MAXADMIN', 'MAXEVERYONE');cleanup
MAXINTOBJECT;MAXINTOBJECTID;;;cleanup
MAXINTOBJDETAIL;MAXINTOBJDETAILID;;;cleanup
MAXINTOBJCOLS;MAXINTOBJCOLSID;;;cleanup
MAXINTOBJALIAS;MAXINTOBJALIASID;;;cleanup
MAXINTOBJALIAS;MAXINTOBJALIASID;;;cleanup
RESTSYSACTION;RESTSYSACTIONID;;;cleanup
OSOSLCACTION;OSOSLCACTIONID;;;cleanup
OSLCERRORMAP;OSLCERRORMAPID;;;cleanup
OSLCPROVIDER;OSLCPROVIDERID;;;cleanup
OSLCRESOURCETYPES;OSLCRESOURCETYPESID;;;cleanup
OSLCINTERACTION;OSLCINTERACTIONID;;;cleanup
OSLCPREFILLMAP;OSLCPREFILLMAPID;;;cleanup
OSLCNSPREFIX;OSLCNSPREFIXID;;;cleanup
OSLCDOMAIN;OSLCDOMAINID;;;cleanup
OSLCRESOURCE;OSLCRESOURCEID;;;cleanup
OSLCRESOURCEDETAIL;OSLCRESOURCEDETAILID;;;cleanup
OSLCSPDEFN;OSLCSPDEFNID;;;cleanup
OSLCERRORMAP;OSLCERRORMAPID;;;cleanup
OSLCINTQUERY;OSLCINTQUERYID;;;cleanup
OSLCINTQUERYPARAMS;OSLCINTQUERYPARAMSID;;;cleanup
OSLCINTGROUP;OSLCINTGROUPID;;;cleanup
OSLCINTGRPMEMBERS;OSLCINTGRPMEMBERSID;;;cleanup
OSLCINTGRPAPPS;OSLCINTGRPAPPSID;;;cleanup
OSLCINTGRPAPPMENU;OSLCINTGRPAPPMENUID;;;cleanup
OSLCCOMMONPROPS;OSLCCOMMONPROPSID;;;cleanup
OSLCQUERY;OSLCQUERYID;;;cleanup
OSLCEXTMEDIATYPE;EXTENSION;;;
OSLCBUSRES;OSLCBUSRESID;;;cleanup
OSLCTRANSACTION;OSLCTRANSACTIONID;;;cleanup
OSLCLINK;OSLCLINKID;;;cleanup
CONDITION;CONDITIONID;;;cleanup
MAXSYSINDEXES;NAME;;name in (select altkey from maxintobjdetail);
MAXSYSKEYS;MAXSYSKEYSID;;ixname in (select altkey from maxintobjdetail);
WORKTYPE;WORKTYPE;;;cleanup
MAXHANDLER;MAXHANDLERID;;;cleanup
