objectname;uid_list;comparing_field;where_clause;cleanup
A_RS_NOTIFICATION;EAUDITTIMESTAMP,RS_NOTIFICATIONID;;;
A_ASSETATTRIBUTE;EAUDITTIMESTAMP,ASSETATTRIBUTEID;;;
A_CRAFT;EAUDITTIMESTAMP,CRAFTID;;;
A_CLASSSTRUCTURE;EAUDITTIMESTAMP,CLASSSTRUCTUREID;;;
A_LONGDESCRIPTION;EAUDITTIMESTAMP,LONGDESCRIPTIONID;;;
A_ESCALATION;EAUDITTIMESTAMP,ESCALATIONID;;;
A_MAXROLE;EAUDITTIMESTAMP,MAXROLEID;;;
A_MAXRELATIONSHIP;EAUDITTIMESTAMP,MAXRELATIONSHIPID;;;
A_WORKORDER;EAUDITTIMESTAMP,WORKORDERID;;;
A_RS_SMETA;EAUDITTIMESTAMP,RS_SMETAID;;;
A_ASSET;EAUDITTIMESTAMP,ASSETNUM,SITEID;;;
A_LABOR;EAUDITTIMESTAMP,LABORID;;;
A_MAXGROUP;EAUDITTIMESTAMP,MAXGROUPID;;;
A_ODK_INT_OPERATINGMODECHNG;EAUDITTIMESTAMP,ODK_INT_OPERATINGMODECHNGID;;;
A_COMPANIES;EAUDITTIMESTAMP,COMPANIESID;;;
A_ODK_INT_KSPARAM;EAUDITTIMESTAMP,ODK_INT_KSPARAMID;;;
A_ODK_INT_KSCOP_WEBIDS;EAUDITTIMESTAMP,ODK_INT_KSCOP_WEBIDSID;;;
A_ODK_INT_OPERATING_DATA_AES;EAUDITTIMESTAMP,ODK_INT_OPERATING_DATA_AESID;;;
A_ALNDOMAIN;EAUDITTIMESTAMP,ALNDOMAINID;;;
A_ODK_RS_GROUPTASK;EAUDITTIMESTAMP,ODK_RS_GROUPTASKID;;;
A_MAXATTRIBUTE;EAUDITTIMESTAMP,MAXATTRIBUTEID;;;
A_PLUSNOTIFICATION;EAUDITTIMESTAMP,PLUSNOTIFICATIONID;;;
A_MAXSYSINDEXES;EAUDITTIMESTAMP,MAXSYSINDEXESID;;;
A_SYNONYMDOMAIN;EAUDITTIMESTAMP,SYNONYMDOMAINID;;;
A_MAXOBJECT;EAUDITTIMESTAMP,MAXOBJECTID;;;
A_PERSON;EAUDITTIMESTAMP,PERSONID;;;
A_REATUNSI;EAUDITTIMESTAMP,REATUNSIID;;;
A_REATREQUEST;EAUDITTIMESTAMP,REATREQUESTID;;;
A_REATMATERIALS;EAUDITTIMESTAMP,A_REATMATERIALSID;;;
A_;EAUDITTIMESTAMP,ODK_RS_STATUSID;;;
A_ODK_INT_KIUM;EAUDITTIMESTAMP,ODK_INT_KIUMID;;;
A_ODK_RS_RKC2;EAUDITTIMESTAMP,ODK_RS_RKC2ID;;;
A_ODK_RS_RKCQUERY;EAUDITTIMESTAMP,ODK_RS_RKCQUERYID;;;
A_ABNORMAL_INF_MAIN;EAUDITTIMESTAMP,ABNORMAL_INF_MAINID;;;
A_ODK_CO_INFSYSTPROJ;EAUDITTIMESTAMP,ODK_CO_INFSYSTPROJID;;;
A_ODK_CO_TECH_ELEM;EAUDITTIMESTAMP,ODK_CO_TECH_ELEMID;;;
A_ODK_INT_POWER_CORRECT_BIL;EAUDITTIMESTAMP,ODK_INT_POWER_CORRECT_BILID;;;
A_ODK_INT_ASKRO_POSTS;EAUDITTIMESTAMP,ODK_INT_ASKRO_POSTSID;;;
A_ODK_NP_ZONE;EAUDITTIMESTAMP,ODK_NP_ZONEID;;;
A_SERVICEADDRESS;EAUDITTIMESTAMP,SERVICEADDRESSID;;;
A_ODK_ASKRO;EAUDITTIMESTAMP,ODK_ASKROID;;;
A_REATSYSTEM;EAUDITTIMESTAMP,REATSYSTEMID;;;
A_COMMTEMPLATE;EAUDITTIMESTAMP,COMMTEMPLATEID;;;
A_QUERY;EAUDITTIMESTAMP,QUERYID;;;
A_WFPROCESS;EAUDITTIMESTAMP,WFPROCESSID;;;
A_CONDITION;EAUDITTIMESTAMP,CONDITIONID;;;
A_LOCATIONS;EAUDITTIMESTAMP,LOCATIONSID;;;
A_RS_DIGEST;EAUDITTIMESTAMP,RS_DIGESTID;;;
A_ODK_OPERATING_DATA_UNIT;EAUDITTIMESTAMP,ODK_OPERATING_DATA_UNITID;;;
A_RS_SBORNIK;EAUDITTIMESTAMP,RS_SBORNIKID;;;
A_JOBPLAN;EAUDITTIMESTAMP,JOBPLANID;;;
A_INVRESERVE;EAUDITTIMESTAMP,INVRESERVEID;;;
A_COMPMASTER;EAUDITTIMESTAMP,COMPMASTERID;;;
