objectname;uid_list;comparing_field;where_clause;cleanup
A_RS_NOTIFICATION;RS_NOTIFICATIONID;COUNT(*);;
A_ASSETATTRIBUTE;ASSETATTRIBUTEID;COUNT(*);;
A_CRAFT;CRAFTID;COUNT(*);;
A_CLASSSTRUCTURE;CLASSSTRUCTUREID;COUNT(*);;
A_LONGDESCRIPTION;LONGDESCRIPTIONID;COUNT(*);;
A_ESCALATION;ESCALATIONID;COUNT(*);;
A_MAXROLE;MAXROLEID;COUNT(*);;
A_MAXRELATIONSHIP;MAXRELATIONSHIPID;COUNT(*);;
A_WORKORDER;WORKORDERID;COUNT(*);;
A_RS_SMETA;RS_SMETAID;COUNT(*);;
A_ASSET;ASSETNUM;COUNT(*);;
A_LABOR;LABORID;COUNT(*);;
A_MAXGROUP;MAXGROUPID;COUNT(*);;
A_ODK_INT_OPERATINGMODECHNG;ODK_INT_OPERATINGMODECHNGID;COUNT(*);;
A_COMPANIES;COMPANIESID;COUNT(*);;
A_ODK_INT_KSPARAM;ODK_INT_KSPARAMID;COUNT(*);;
A_ODK_INT_KSCOP_WEBIDS;ODK_INT_KSCOP_WEBIDSID;COUNT(*);;
A_ODK_INT_OPERATING_DATA_AES;ODK_INT_OPERATING_DATA_AESID;COUNT(*);;
A_ALNDOMAIN;ALNDOMAINID;COUNT(*);;
A_ODK_RS_GROUPTASK;ODK_RS_GROUPTASKID;COUNT(*);;
A_MAXATTRIBUTE;MAXATTRIBUTEID;COUNT(*);;
A_PLUSNOTIFICATION;PLUSNOTIFICATIONID;COUNT(*);;
A_MAXSYSINDEXES;MAXSYSINDEXESID;COUNT(*);;
A_SYNONYMDOMAIN;SYNONYMDOMAINID;COUNT(*);;
A_MAXOBJECT;MAXOBJECTID;COUNT(*);;
A_PERSON;PERSONID;COUNT(*);;
A_REATUNSI;REATUNSIID;COUNT(*);;
A_REATREQUEST;REATREQUESTID;COUNT(*);;
A_REATMATERIALS;A_REATMATERIALSID;COUNT(*);;
A_;ODK_RS_STATUSID;COUNT(*);;
A_ODK_INT_KIUM;ODK_INT_KIUMID;COUNT(*);;
A_ODK_RS_RKC2;ODK_RS_RKC2ID;COUNT(*);;
A_ODK_RS_RKCQUERY;ODK_RS_RKCQUERYID;COUNT(*);;
A_ABNORMAL_INF_MAIN;ABNORMAL_INF_MAINID;COUNT(*);;
A_ODK_CO_INFSYSTPROJ;ODK_CO_INFSYSTPROJID;COUNT(*);;
A_ODK_CO_TECH_ELEM;ODK_CO_TECH_ELEMID;COUNT(*);;
A_ODK_INT_POWER_CORRECT_BIL;ODK_INT_POWER_CORRECT_BILID;COUNT(*);;
A_ODK_INT_ASKRO_POSTS;ODK_INT_ASKRO_POSTSID;COUNT(*);;
A_ODK_NP_ZONE;ODK_NP_ZONEID;COUNT(*);;
A_SERVICEADDRESS;SERVICEADDRESSID;COUNT(*);;
A_ODK_ASKRO;ODK_ASKROID;COUNT(*);;
A_REATSYSTEM;REATSYSTEMID;COUNT(*);;
A_COMMTEMPLATE;COMMTEMPLATEID;COUNT(*);;
A_QUERY;QUERYID;COUNT(*);;
A_WFPROCESS;WFPROCESSID;COUNT(*);;
A_CONDITION;CONDITIONID;COUNT(*);;
A_LOCATIONS;LOCATIONSID;COUNT(*);;
A_RS_DIGEST;RS_DIGESTID;COUNT(*);;
A_ODK_OPERATING_DATA_UNIT;ODK_OPERATING_DATA_UNITID;COUNT(*);;
A_RS_SBORNIK;RS_SBORNIKID;COUNT(*);;
A_JOBPLAN;JOBPLANID;COUNT(*);;
A_INVRESERVE;INVRESERVEID;COUNT(*);;
A_COMPMASTER;COMPMASTERID;COUNT(*);;
