objectname;uid_list;comparing_field;where_clause;cleanup
ODK_INT_SKC_UNITS_POWER;ODK_INT_SKC_UNITSID;;;
ODK_DISP_RESTRICTION;ODK_DISP_RESTRICTIONID;;;
ODK_OPDATA_CAUSE;ODK_OPDATA_CAUSESID;;;
ODK_TECH_SIGNAL_TYPE_MAP;ODK_TECH_SIGNAL_TYPE_MAPID;;;
ODK_RS_MASTERSCHEDULE;ODK_RS_MASTERSCHEDULEID;;;
ODK_INT_PLAN_CHAR;ODK_INT_PLAN_CHARID;;;
ODK_INT_OTHER_EVENTS;ODK_INT_OTHER_EVENTSID;;;
ODK_INT_NS_CLASS_EES;ODK_INT_NS_CLASS_TNEID;;;
ODK_INT_CL_LIFE_CYCLE;ODK_INT_CL_LIFE_CYCLEID;;;
ODK_INT_TARGET_LANDMARK;ODK_INT_TARGET_LANDMARKID;;;
ODK_INT_TARGET_SUM;ODK_INT_TARGETID;;;
ODK_INT_TNE_QUERY;ODK_INT_TNE_QUERYID;;;
ODK_INT_RTN_QUERY;ODK_INT_RTN_QUERYID;;;
ODK_INT_RTN_DOP_QUERY;ODK_INT_RTN_DOP_QUERYID;;;
ODK_INT_VL_QUERY;ODK_INT_VL_QUERYID;;;
ODK_OPERATING_DATA_UNIT_CKC;ODK_OPERATING_DATA_UNIT_CKCID;;;
ODK_EVSTART_AES_RESP;ODK_EVSTART_AES_RESPID;;;
ODK_FAS;ODK_FASID;;;
ODK_PNR_SUB_STAGE;ODK_PNR_SUB_STAGEID;;;
ODK_UST_CHANGE;ODK_UST_CHANGEID;;;
ODK_PATES_ASKRO;ODK_PATES_ASKROID;;;
ODK_CORPOW_PATES;ODK_CORPOW_PATESID;;;
ODK_RS_TASKAPPROVAL;ODK_RS_TASKAPPROVALID;;;
ODK_INT_HPSM;ODK_INT_HPSMID;;;
ODK_NS_CLASSPOR;ODK_NS_CLASSPORID;;;
ODK_NS_CLASSRD;ODK_NS_CLASSRDID;;;
ODK_SECURE_SYS;ODK_SECURE_SYSID;;;
ODK_COMISSIONMEMBERS;COMISSIONGROUPID;;;
ODK_RS_SCHEDULE;ODK_RS_SCHEDULEID;;;
ODK_INT_SAC_UNPLAN_REPAIR;ODK_INT_SAC_UNPLAN_REPAIRID;;;
ODK_REP_POWER_GENERATION;ODK_INT_REP_POWER_GENERATIONID;;;
ODK_INT_OPERATINGMODECHNG;ODK_INT_OPERATINGMODECHNGID;;;
ODK_INT_REPAIRPLAN;ODK_INT_REPAIRPLANID;;;
ODK_INT_REP_ENERGYSALE;ODK_INT_REP_ENERGYSALEID;;;
ODK_INT_REP_P2;ODK_INT_REP_P2ID;;;
ODK_INT_PROD_POWER;ODK_INT_PROD_POWERID;;;
ODK_RS_KOMM;ODK_RS_KOMMID;;;
ODK_INT_FREQUENCY;ODK_INT_FREQUENCYID;;;
ODK_INFL_POWER;ODK_INFL_POWERID;;;
ODK_INT_AES_SYSTEMS;ODK_INT_AES_SYSTEMSID;;;
ODK_INT_SENDSM;ODK_INT_SENDSMID;;;
ODK_INT_KSPARAM;ODK_INT_KSPARAMID;;;
ODK_INT_KSCOP_WEBIDS;ODK_INT_KSCOP_WEBIDSID;;;
ODK_NS_CLASS;ODK_NS_CLASSID;;;
ODK_OTKL_ENERG;ODK_OTKL_ENERGID;;;
ODK_PERSON_FACT;ODK_PERSON_FACTID;;;
ODK_PUBE;ODK_PUBEID;;;
ODK_RAD_FACTOR;ODK_RAD_FACTORID;;;
ODK_RS_SURROGATE;ODK_RS_SURROGATEID;;;
ODK_RS_GROUPTASK;ODK_RS_GROUPTASKID;;;
ODK_RS_SHIFTVEHICLE;ODK_RS_SHIFTVEHICLEID;;;
ODK_RS_ASKROSTATE;ODK_RS_ASKROSTATEID;;;
ODK_RS_TASKCATEGORY;ODK_RS_TASKCATEGORYID;;;
