objectname;uid_list;comparing_field;where_clause;cleanup
PLUSCSPOTCHECK;PLUSCSPOTCHECKID;;;
PLUSCWODS;PLUSCWODSID;;;
PLUSCWODSINSTR;PLUSCWODSINSTRID;;;
PLUSCTPDATASHEET;PLUSCTPDATASHEETID;;;
PLUSLNUPLOG;PLUSLNUPLOGID;;;
PLUSEGLNUP;PLUSEGLNUPID;;;
PLUSEGLOC;PLUSEGLOCID;;;
PLUSEGPM;PLUSEGPMID;;;
PLUSEGWO;PLUSEGWOID;;;
PLUSEGCL;PLUSEGCLID;;;
PLUSPMCLCONFIG;PLUSPMCLCONFIGID;;;
PLUSDUTYLOG;PLUSDUTYLOGID;;;
PLUSPMFREQSEQ;PLUSPMFREQSEQID;;;
PLUSAUTOFLDUPD;PLUSAUTOFLDUPDID;;;
PLUSIPEVENT;PLUSIPEVENTID;;;
PLUSIPTS;PLUSIPTSID;;;
PLUSMTIMPACT;PLUSMTIMPACTID;;;
PLUSIPLOG;PLUSIPLOGID;;;
PLUSASSETCCMEVT;PLUSASSETCCMEVTID;;;
PLUSCICCMEVT;PLUSCICCMEVTID;;;
PLUSLCOTICKET;PLUSLCOTICKETID;;;
PLUSLCOCL;PLUSLCOCLID;;;
PLUSLCOREFERENCE;PLUSLCOREFERENCEID;;;
PLUSCJPSTATUS;PLUSCJPSTATUSID;;;
PLUSCTEMPLATE;PLUSCTEMPLATEID;;;
PLUSCCDORGSITE;PLUSCCDORGSITEID;;;
PLUSTSRELATEDTS;PLUSTSRELATEDTSID;;;
PLUSLCOLOG;PLUSLCOLOGID;;;
PLUSLCOSPEC;PLUSLCOSPECID;;;
PLUSCCDCLASSIF;PLUSCCDCLASSIFID;;;
PLUSCTPHISTORY;PLUSCTPHISTORYID;;;
PLUSPMREFTICKET;PLUSPMREFTICKETID;;;
PLUSCACLASS;PLUSCACLASSID;;;
PLUSCLTS;PLUSCLTSID;;;
PLUSCLEARANCESPEC;PLUSCLEARANCESPECID;;;
PLUSLNUP;PLUSLNUPID;;;
PLUSTSACTLOC;PLUSTSACTLOCID;;;
PLUSLCOWO;PLUSLCOWOID;;;
PLUSSR;PLUSSRID;;;
PLUSCRAFTAPPR;PLUSCRAFTAPPRID;;;
PLUSCLOPIMPCTHIS;PLUSCLOPIMPCTHISID;;;
PLUSPMREGDATES;PLUSPMREGDATESID;;;
PLUSPMRESCHEDULE;PLUSPMRESCHEDULEID;;;
PLUSCASLAHIST;PLUSCASLAHISTID;;;
PLUSCAOPSHIFTHIST;PLUSCAOPSHIFTHISTID;;;
PLUSCASUPERVHIST;PLUSCASUPERVHISTID;;;
PLUSEG;PLUSEGID;;;
PLUSCTREVIEW;PLUSCTREVIEWID;;;
PLUSCOMPAUDIT;PLUSCOMPAUDITID;;;
PLUSCOMPITEM;PLUSCOMPITEMID;;;
PLUSCOMPTERM;PLUSCOMPTERMID;;;
PLUSTERMSTATUS;PLUSTERMSTATUSID;;;
PLUSITEMTERM;PLUSITEMTERMID;;;
PLUSCOMPSTATUS;PLUSCOMPSTATUSID;;;
PLUSTERMCURRSTAT;PLUSTERMCURRSTATID;;;
PLUSTAG;PLUSTAGID;;;
PLUSCLTAGLINK;PLUSCLTAGLINKID;;;
PLUSLOCOPHIST;PLUSLOCOPHISTID;;;
PLUSASSETOPHIST;PLUSASSETOPHISTID;;;
PLUSEGSTATUS;PLUSEGSTATUSID;;;
PLUSCIFLDHIST;PLUSCIFLDHISTID;;;
PLUSIPCOORDINATE;PLUSIPCOORDINATEID;;;
PLUSIPMTSTATUS;PLUSIPMTSTATUSID;;;
PLUSIPUNVASSET;PLUSIPUNVASSETID;;;
PLUSIPUNVTASK;PLUSIPUNVTASKID;;;
PLUSPMSR;PLUSPMSRID;;;
PLUSDUTYLOGCOMPONENT;PLUSDUTYLOGCOMPONENTID;;;
PLUSLOCFLDHIST;PLUSLOCFLDHISTID;;;
PLUSCCDDOMAIN;PLUSCCDDOMAINID;;;
PLUSTSSTATUS;PLUSTSSTATUSID;;;
PLUSCCDUSEWITH;PLUSCCDUSEWITHID;;;
PLUSDSPLAN;PLUSDSPLANID;;;
PLUSCDSINSTR;PLUSCDSINSTRID;;;
PLUSCDSCONFIG;PLUSCDSCONFIGID;;;
PLUSCDSSTATUS;PLUSCDSSTATUSID;;;
PLUSCASSETSTATUS;PLUSCASSETSTATUSID;;;
PLUSTSACTION;PLUSTSACTIONID;;;
PLUSTSLOC;PLUSTSLOCID;;;
PLUSDUTYPL;PLUSDUTYPLID;;;
PLUSCTPMETER;PLUSCTPMETERID;;;
PLUSCCDDOMAINTBL;PLUSCCDDOMAINTBLID;;;
PLUSCDSPOINT;PLUSCDSPOINTID;;;
PLUSWOASSET;PLUSWOASSETID;;;
PLUSPMREF;PLUSPMREFID;;;
PLUSDUTYROUNDREADING;PLUSDUTYROUNDREADINGID;;;
PLUSLCO;PLUSLCOID;;;
PLUSLCOSTATUS;PLUSLCOSTATUSID;;;
PLUSDUTYSHIFTTEAMREVIEW;PLUSDUTYSHIFTTEAMREVIEWID;;;
PLUSDUTYPLANTSTA;PLUSDUTYPLANTSTAID;;;
PLUSDUTYLATPLTST;PLUSDUTYLATPLTSTID;;;
PLUSLOCRC;PLUSLOCRCID;;;
PLUSCLSTATUS;PLUSCLSTATUSID;;;
PLUSTAGSTATUS;PLUSTAGSTATUSID;;;
PLUSCLLOG;PLUSCLLOGID;;;
PLUSSIGNONOFF;PLUSSIGNONOFFID;;;
PLUSWOCLLINK;PLUSWOCLLINKID;;;
PLUSWOTAGLINK;PLUSWOTAGLINKID;;;
PLUSCLHIER;PLUSCLHIERID;;;
PLUSLNUPGRP;PLUSLNUPGRPID;;;
PLUSLNUPSTATUS;PLUSLNUPSTATUSID;;;
PLUSLNUPCONFCOMP;PLUSLNUPCONFCOMPID;;;
PLUSLNUPCOMP;PLUSLNUPCOMPID;;;
PLUSLNUPSPEC;PLUSLNUPSPECID;;;
PLUSLCOTYPE;PLUSLCOTYPEID;;;
PLUSLCOACTION;PLUSLCOACTIONID;;;
PLUSWOCOMPCODE;PLUSWOCOMPCODEID;;;
PLUSEVENT;PLUSEVENTID;;;
PLUSASSETPOS;PLUSASSETPOSID;;;
PLUSLOCPOS;PLUSLOCPOSID;;;
PLUSDUTYSPEC;PLUSDUTYSPECID;;;
PLUSCCDATTRIB;PLUSCCDATTRIBID;;;
PLUSREADFREQ;PLUSREADFREQID;;;
PLUSREADFRQACTDAY;PLUSREADFRQACTDAYID;;;
PLUSREADFRQACTTIM;PLUSREADFRQACTTIMID;;;
PLUSPERMINSPTSK;PLUSPERMINSPTSKID;;;
PLUSPERMINSPRSLT;PLUSPERMINSPRSLTID;;;
PLUSPERMRELCNTRL;PLUSPERMRELCNTRLID;;;
PLUSCATS;PLUSCATSID;;;
PLUSCLEARANCE;PLUSCLEARANCEID;;;
PLUSCJPDATASHEET;PLUSCJPDATASHEETID;;;
PLUSCPMEXTDATE;PLUSCPMEXTDATEID;;;
L_PLUSCCDDOMAIN;L_PLUSCCDDOMAINID;;;
PLUSASSETFLDHIST;PLUSASSETFLDHISTID;;;
PLUSIPPERMIT;PLUSIPPERMITID;;;
PLUSLOCCCMEVT;PLUSLOCCCMEVTID;;;
PLUSCWODSPOINT;PLUSCWODSPOINTID;;;
PLUSLCOASSETLOCCI;PLUSLCOASSETLOCCIID;;;
PLUSLCORETESTWO;PLUSLCORETESTWOID;;;
PLUSLCOCOMPREF;PLUSLCOCOMPREFID;;;
PLUSLCOOWNERHIST;PLUSLCOOWNERHISTID;;;
PLUSLCOTS;PLUSLCOTSID;;;
PLUSDUTYPLSTATUS;PLUSDUTYPLSTATUSID;;;
PLUSDUTYPLQUALIF;PLUSDUTYPLQUALIFID;;;
PLUSDUTYPLSHIFTTEAM;PLUSDUTYPLSHIFTTEAMID;;;
PLUSDUTYPLEQUIPMENT;PLUSDUTYPLEQUIPMENTID;;;
PLUSDUTYPLROUND;PLUSDUTYPLROUNDID;;;
PLUSDUTYPLROUNDCHARACTION;PLUSDUTYPLROUNDCHARACTIONID;;;
PLUSDUTYPLROUNDSR;PLUSDUTYPLROUNDSRID;;;
PLUSDUTYPLLOG;PLUSDUTYPLLOGID;;;
PLUSDUTYPLSPEC;PLUSDUTYPLSPECID;;;
PLUSDUTYPLROUNDCONDITION;PLUSDUTYPLROUNDCONDITIONID;;;
PLUSDUTY;PLUSDUTYID;;;
PLUSDUTYSTATUS;PLUSDUTYSTATUSID;;;
PLUSLNUPGRPSTATUS;PLUSLNUPGRPSTATUSID;;;
PLUSCACLASSSPEC;PLUSCACLASSSPECID;;;
PLUSCARELATEDCA;PLUSCARELATEDCAID;;;
PLUSLOCSPECHIST;PLUSLOCSPECHISTID;;;
PLUSSRSTATUS;PLUSSRSTATUSID;;;
PLUSNOTIFICATION;PLUSNOTIFICATIONID;;;
PLUSNOTIFSTATUS;PLUSNOTIFSTATUSID;;;
PLUSNOTIFUSER;PLUSNOTIFUSERID;;;
PLUSASSETRC;PLUSASSETRCID;;;
PLUSLCOACTIONHIST;PLUSLCOACTIONHISTID;;;
PLUSWORKTYPETEMP;PLUSWORKTYPETEMPID;;;
PLUSCTPSPAREPART;PLUSCTPSPAREPARTID;;;
PLUSCTPSPEC;PLUSCTPSPECID;;;
PLUSCTPMASTERPM;PLUSCTPMASTERPMID;;;
PLUSTS;PLUSTSID;;;
PLUSTSSR;PLUSTSSRID;;;
PLUSIMPACT;PLUSIMPACTID;;;
PLUSIPASSOC;PLUSIPASSOCID;;;
PLUSACTREPETE;PLUSACTREPETEID;;;
PLUSCLUNVASSET;PLUSCLUNVASSETID;;;
PLUSCTPASSET;PLUSCTPASSETID;;;
PLUSOBJECTIVE;PLUSOBJECTIVEID;;;
PLUSOBJCTSTATUS;PLUSOBJCTSTATUSID;;;
PLUSIPRETEST;PLUSIPRETESTID;;;
PLUSCDSASSETLINK;PLUSCDSASSETLINKID;;;
PLUSIPOPSTATUS;PLUSIPOPSTATUSID;;;
