objectname;uid_list;comparing_field;where_clause;cleanup
PLUSCSPOTCHECK;PLUSCSPOTCHECKID;;;cleanup
PLUSCWODS;PLUSCWODSID;;;cleanup
PLUSCWODSINSTR;PLUSCWODSINSTRID;;;cleanup
PLUSCTPDATASHEET;PLUSCTPDATASHEETID;;;cleanup
PLUSLNUPLOG;PLUSLNUPLOGID;;;cleanup
PLUSEGLNUP;PLUSEGLNUPID;;;cleanup
PLUSEGLOC;PLUSEGLOCID;;;cleanup
PLUSEGPM;PLUSEGPMID;;;cleanup
PLUSEGWO;PLUSEGWOID;;;cleanup
PLUSEGCL;PLUSEGCLID;;;cleanup
PLUSPMCLCONFIG;PLUSPMCLCONFIGID;;;cleanup
PLUSDUTYLOG;PLUSDUTYLOGID;;;cleanup
PLUSPMFREQSEQ;PLUSPMFREQSEQID;;;cleanup
PLUSAUTOFLDUPD;PLUSAUTOFLDUPDID;;;cleanup
PLUSIPEVENT;PLUSIPEVENTID;;;cleanup
PLUSIPTS;PLUSIPTSID;;;cleanup
PLUSMTIMPACT;PLUSMTIMPACTID;;;cleanup
PLUSIPLOG;PLUSIPLOGID;;;cleanup
PLUSASSETCCMEVT;PLUSASSETCCMEVTID;;;cleanup
PLUSCICCMEVT;PLUSCICCMEVTID;;;cleanup
PLUSLCOTICKET;PLUSLCOTICKETID;;;cleanup
PLUSLCOCL;PLUSLCOCLID;;;cleanup
PLUSLCOREFERENCE;PLUSLCOREFERENCEID;;;cleanup
PLUSCJPSTATUS;PLUSCJPSTATUSID;;;cleanup
PLUSCTEMPLATE;PLUSCTEMPLATEID;;;cleanup
PLUSCCDORGSITE;PLUSCCDORGSITEID;;;cleanup
PLUSTSRELATEDTS;PLUSTSRELATEDTSID;;;cleanup
PLUSLCOLOG;PLUSLCOLOGID;;;cleanup
PLUSLCOSPEC;PLUSLCOSPECID;;;cleanup
PLUSCCDCLASSIF;PLUSCCDCLASSIFID;;;cleanup
PLUSCTPHISTORY;PLUSCTPHISTORYID;;;cleanup
PLUSPMREFTICKET;PLUSPMREFTICKETID;;;cleanup
PLUSCACLASS;PLUSCACLASSID;;;cleanup
PLUSCLTS;PLUSCLTSID;;;cleanup
PLUSCLEARANCESPEC;PLUSCLEARANCESPECID;;;cleanup
PLUSLNUP;PLUSLNUPID;;;cleanup
PLUSTSACTLOC;PLUSTSACTLOCID;;;cleanup
PLUSLCOWO;PLUSLCOWOID;;;cleanup
PLUSSR;PLUSSRID;;;cleanup
PLUSCRAFTAPPR;PLUSCRAFTAPPRID;;;cleanup
PLUSCLOPIMPCTHIS;PLUSCLOPIMPCTHISID;;;cleanup
PLUSPMREGDATES;PLUSPMREGDATESID;;;cleanup
PLUSPMRESCHEDULE;PLUSPMRESCHEDULEID;;;cleanup
PLUSCASLAHIST;PLUSCASLAHISTID;;;cleanup
PLUSCAOPSHIFTHIST;PLUSCAOPSHIFTHISTID;;;cleanup
PLUSCASUPERVHIST;PLUSCASUPERVHISTID;;;cleanup
PLUSEG;PLUSEGID;;;cleanup
PLUSCTREVIEW;PLUSCTREVIEWID;;;cleanup
PLUSCOMPAUDIT;PLUSCOMPAUDITID;;;cleanup
PLUSCOMPITEM;PLUSCOMPITEMID;;;cleanup
PLUSCOMPTERM;PLUSCOMPTERMID;;;cleanup
PLUSTERMSTATUS;PLUSTERMSTATUSID;;;cleanup
PLUSITEMTERM;PLUSITEMTERMID;;;cleanup
PLUSCOMPSTATUS;PLUSCOMPSTATUSID;;;cleanup
PLUSTERMCURRSTAT;PLUSTERMCURRSTATID;;;cleanup
PLUSTAG;PLUSTAGID;;;cleanup
PLUSCLTAGLINK;PLUSCLTAGLINKID;;;cleanup
PLUSLOCOPHIST;PLUSLOCOPHISTID;;;cleanup
PLUSASSETOPHIST;PLUSASSETOPHISTID;;;cleanup
PLUSEGSTATUS;PLUSEGSTATUSID;;;cleanup
PLUSCIFLDHIST;PLUSCIFLDHISTID;;;cleanup
PLUSIPCOORDINATE;PLUSIPCOORDINATEID;;;cleanup
PLUSIPMTSTATUS;PLUSIPMTSTATUSID;;;cleanup
PLUSIPUNVASSET;PLUSIPUNVASSETID;;;cleanup
PLUSIPUNVTASK;PLUSIPUNVTASKID;;;cleanup
PLUSPMSR;PLUSPMSRID;;;cleanup
PLUSDUTYLOGCOMPONENT;PLUSDUTYLOGCOMPONENTID;;;cleanup
PLUSLOCFLDHIST;PLUSLOCFLDHISTID;;;cleanup
PLUSCCDDOMAIN;PLUSCCDDOMAINID;;;cleanup
PLUSTSSTATUS;PLUSTSSTATUSID;;;cleanup
PLUSCCDUSEWITH;PLUSCCDUSEWITHID;;;cleanup
PLUSDSPLAN;PLUSDSPLANID;;;cleanup
PLUSCDSINSTR;PLUSCDSINSTRID;;;cleanup
PLUSCDSCONFIG;PLUSCDSCONFIGID;;;cleanup
PLUSCDSSTATUS;PLUSCDSSTATUSID;;;cleanup
