objectname;uid_list;comparing_field;where_clause;cleanup
REATPERMITTYPEISOE;REATPERMITTYPEISOEID;;;
REATSYSTEMISOE;REATSYSTEMISOEID;;;
REAT_SM;REAT_SMID;;;
REATPLUSCTPSPEC2;REATPLUSCTPSPEC2ID;;;
REATSAFEWORKPERMIT;REATSAFEWORKPERMITID;;;
REATORDERPRLAB;REATORDERPRLABID;;;
REATORDERS;REATORDERSID;;;
REATSNCHASSTAVKI;REATSNCHASSTAVKIID;;;
REATSNJOBPLAN;REATSNJOBPLANID;;;
REATSNJOBPLANCOEFF;REATSNJOBPLANCOEFFID;;;
REATAUTH;REATAUTHID;;;
REATPERSAUTH;REATPERSAUTHID;;;
REATSNCOEFF;REATSNCOEFFID;;;
REATBLOCKRESP;REATBLOCKRESPID;;;
REATORDER;REATORDERID;;;
REATCONTROLDOC;REATCONTROLDOCID;;;
REATSOGLOS;REATSOGID;;;
REATTYPEWORK;REATTYPEWORKID;;;
REATSIZ;REATSIZID;;;
RS_PER;RS_PERID;;;
RS_PERSON;RS_PERSONID;;;
RS_SMETA;RS_SMETAID;;;
RS_WORKORDER;RS_WORKORDERID;;;
REATGRADE;REATGRADEID;;;
REATFMCNTRL;REATFMCNTRLID;;;
REATBRIEF;REATBRIEFID;;;
REATPOPR;REATPOPRID;;;
REATOSPGR;REATOSPGRID;;;
REATPOLINE;REATPOLINEID;;;
REATBRIEFPERMIT;REATBRIEFPERMITID;;;
REATCEHS;REATCEHSID;;;
REATLINEUP;REATLINEUPID;;;
REATLINETEMP;REATLINETEMPID;;;
REATLINETM;REATLINETMID;;;
REATLINESTORE;REATLINESTOREID;;;
REATSERVRECTRANS;REATSERVRECTRANSID;;;
REATSIZPERMIT;REATSIZPERMITID;;;
REATRESPONSIBLE;REATRESPONSIBLEID;;;
REATASSETSPEC;REATASSETSPECID;;;
REATOBSSCENCE;REATOBSSCENCEID;;;
REATLINETEMPTM;REATLINETEMPTMID;;;
REATDOPLATA;REATDOPLATAID;;;
REATPO;REATPOID;;;
REATSAFEWPPERMIT;REATSAFEPERMITID;;;
RS_SOGLOS;RS_SOGLID;;;
REATPERSON;REATPERSONID;;;
REATSAPLOCATION;REATSAPLOCATIONID;;;
REATUNSI;REATUNSIID;;;
REATREQUEST;REATREQUESTID;;;
REATITEM;REATITEMID;;;
REATMATERIALS;REATMATERIALSID;;;
REATWORKORDER;REATWORKORDERID;;;
REATPR;REATPRID;;;
REATASUTDDOCTYPE;REATASUTDDOCTYPEID;;;
REATASUTDRESP;REATASUTDRESPID;;;
REAICOMISSIONMEMBERS;REAICOMISSIONMEMBERSID;;;
REATPOSITION;REATPOSITIONID;;;
REATSTAFFPOS;REATSTAFFPOSID;;;
REATCRAFTPOS;REATCRAFTPOSID;;;
REATINFORM;REATINFORMID;;;
REATFA;REATFAID;;;
REATADMISSION;REATADMISSIONID;;;
REATSNJPSNCOEFF;REATSNJPSNCOEFFID;;;
REATSNLOCATION;REATSNLOCATIONID;;;
REATSNNORMA;REATSNNORMAID;;;
REATSNNORMACOEFF;REATSNNORMACOEFFID;;;
REATPERSONORB;REATPERSONORBID;;;
REATSNSBORNIK;REATSNSBORNIKID;;;
REATSNSBORNIKCOEFF;REATSNSBORNIKCOEFFID;;;
REATASUTDDOCKIND;REATASUTDDOCKINDID;;;
REATDOCINFO;REATDOCINFOID;;;
REATASSETGRDOC;REATASSETGRDOCID;;;
REATMEXOLD;REATMEXOLDID;;;
REATRESOURCE;REATRESOURCEID;;;
REATASSETSPEC2;REATASSETSPEC2ID;;;
REATASSETSPECHIST2;REATASSETSPECHIST2ID;;;
REATSYSTEM;REATSYSTEMID;;;
REATWEIDK;REATWEIDKID;;;
REAT_SM_PERM;REAT_SM_PERMID;;;
REATSAFETYCATALOG;REATSAFETYCATALOGID;;;
REATSMETA;REATSMETAID;;;
REATSNWO;REATSNWOID;;;
REATSNWOC;REATSNWOCID;;;
REATASUTDVIEW;REATASUTDVIEWID;;;
REATEQUIPISOE;REATEQUIPISOEID;;;
REATDIGEST;REATDIGESTID;;;
REATSBORNIK;REATSBORNIKID;;;
REATNOTIFICATION;REATNOTIFICATIONID;;;
REATPER;REATPERID;;;
RS_DIGEST;RS_DIGESTID;;;
RS_SBORNIK;RS_SBORNIKID;;;
REATEVENT;REATEVENTID;;;
REATJUSTIFICATION;REATJUSTIFICATIONID;;;
RS_NOTIFICATION;RS_NOTIFICATIONID;;;
REATPRLAB;REATPRLABID;;;
REAT_SM1;REAT_SM2ID;;;
REAT_SM1_PERM;REAT_SM1_PERMID;;;
REATESIGHISTORY;REATESIGHISTORYID;;;
PR_05_IN;PR_05_INID;;;
