objectname;uid_list;comparing_field;where_clause;cleanup
MAXOBJECT;MAXOBJECTID;OBJECTNAME;USERDEFINED=0 and SERVICENAME IN (SELECT SERVICENAME FROM MAXSERVICE WHERE active=1) AND SERVICENAME!='CUSTAPP' AND objectname in (select objectname from maxattributecfg WHERE USERDEFINED=0);
MAXOBJECTCFG;MAXOBJECTID;OBJECTNAME;USERDEFINED=0 and SERVICENAME IN (SELECT SERVICENAME FROM MAXSERVICE WHERE active=1) AND SERVICENAME!='CUSTAPP' AND objectname in (select objectname from maxattributecfg WHERE USERDEFINED=0);
MAXATTRIBUTECFG;MAXATTRIBUTEID;ATTRIBUTENAME;USERDEFINED=0 AND OBJECTNAME IN (SELECT OBJECTNAME FROM MAXOBJECT m3 WHERE USERDEFINED=0 and SERVICENAME IN (SELECT SERVICENAME FROM MAXSERVICE WHERE active=1) AND SERVICENAME!='CUSTAPP');
MAXATTRIBUTE;MAXATTRIBUTEID;ATTRIBUTENAME;USERDEFINED=0 AND OBJECTNAME IN (SELECT OBJECTNAME FROM MAXOBJECT m3 WHERE USERDEFINED=0 and SERVICENAME IN (SELECT SERVICENAME FROM MAXSERVICE WHERE active=1) AND SERVICENAME!='CUSTAPP');
MAXSYSINDEXES;MAXSYSINDEXESID;;TBNAME IN (SELECT ENTITYNAME FROM MAXOBJECT m3 WHERE USERDEFINED=0 and SERVICENAME IN (SELECT SERVICENAME FROM MAXSERVICE WHERE active=1) AND SERVICENAME!='CUSTAPP');cleanup
MAXSYSKEYS;MAXSYSKEYSID;;IXNAME IN (select NAME from MAXSYSINDEXES m WHERE TBNAME IN (SELECT ENTITYNAME FROM MAXOBJECT m3 WHERE USERDEFINED=0 and SERVICENAME IN (SELECT SERVICENAME FROM MAXSERVICE WHERE active=1) AND SERVICENAME!='CUSTAPP'));cleanup
MAXTABLECFG;MAXTABLEID;;TABLENAME IN (SELECT ENTITYNAME FROM MAXOBJECT m3 WHERE USERDEFINED=0 and SERVICENAME IN (SELECT SERVICENAME FROM MAXSERVICE WHERE active=1) AND SERVICENAME!='CUSTAPP');cleanup
MAXVIEWCFG;MAXVIEWID;;VIEWNAME IN (SELECT OBJECTNAME FROM MAXOBJECT m3 WHERE USERDEFINED=0 and SERVICENAME IN (SELECT SERVICENAME FROM MAXSERVICE WHERE active=1) AND SERVICENAME!='CUSTAPP');cleanup
MAXVIEWCOLUMNCFG;MAXVIEWCOLUMNID;;VIEWNAME IN (SELECT OBJECTNAME FROM MAXOBJECT m3 WHERE USERDEFINED=0 and SERVICENAME IN (SELECT SERVICENAME FROM MAXSERVICE WHERE active=1) AND SERVICENAME!='CUSTAPP');cleanup
MAXVARS;VARNAME;VARVALUE;;
MAXVARTYPE;VARNAME;VARNAME;;
MAXPROP;MAXPROPID;PROPNAME;;
MAXPROPVALUE;MAXPROPVALUEID;PROPNAME;;
L_MAXATTRCFG;L_MAXATTRCFGID;L_MAXATTRCFGID;OWNERID IN (SELECT MAXATTRIBUTEID FROM MAXATTRIBUTE m2 WHERE USERDEFINED=0 AND OBJECTNAME IN (SELECT OBJECTNAME FROM MAXOBJECT m3 WHERE USERDEFINED=0 and SERVICENAME IN (SELECT SERVICENAME FROM MAXSERVICE WHERE active=1) AND SERVICENAME!='CUSTAPP'));cleanup
L_MAXATTRIBUTE;L_MAXATTRIBUTEID;L_MAXATTRIBUTEID;OWNERID IN (SELECT MAXATTRIBUTEID FROM MAXATTRIBUTE m2 WHERE USERDEFINED=0 AND OBJECTNAME IN (SELECT OBJECTNAME FROM MAXOBJECT m3 WHERE USERDEFINED=0 and SERVICENAME IN (SELECT SERVICENAME FROM MAXSERVICE WHERE active=1) AND SERVICENAME!='CUSTAPP'));cleanup
