objectname;uid_list;comparing_field;where_clause;cleanup
GROUPUSER;GROUPUSERID;;;cleanup
MAXUSERSTATUS;MAXUSERSTATUSID;;;cleanup
NAMEDUSERS;NAMEDUSERSID;;;cleanup
GRPREASSIGNAUTH;GRPREASSIGNAUTHID;;;cleanup
LOGINBLOCK;LOGINBLOCKID;;;cleanup
MAXUSER;MAXUSERID;;userid!='MAXADMIN';
LIMITTOLERANCE;LIMITTOLERANCEID;;;cleanup
LOCAUTH;LOCAUTHID;;;cleanup
REPFACAUTH;REPFACAUTHID;;;cleanup
ANALYTICAUTH;ANALYTICAUTHID;;;cleanup
AUTHROLE;AUTHROLEID;;;cleanup
AUTHROLEUSER;AUTHROLEUSERID;;;cleanup
COLLECTIONAUTH;COLLECTIONAUTHID;;;cleanup
CONTRACTAUTH;CONTRACTAUTHID;;;cleanup
LABORAUTH;LABORAUTHID;;;cleanup
