objectname;uid_list;comparing_field;where_clause;cleanup
ACTION;ACTIONID;;;
ACTIONGROUP;ACTIONGROUPID;;;
APIROUTE;APIROUTEID;;;
APPDOCTYPE;APPDOCTYPEID;;;
APPLICATIONAUTH;APPLICATIONAUTHID;;;
ATTRFORMULA;ATTRFORMULAID;;;
AUTOKEY;AUTOKEYID;;;
AUTOSCRIPT;AUTOSCRIPTID;;;
AUTOSCRIPTSTATE;AUTOSCRIPTSTATEID;;;
AUTOSCRIPTVARS;AUTOSCRIPTVARSID;;;
BUDGETANALYSISAXIS;BUDGETANALYSISAXISID;;;
COMMTEMPLATE;COMMTEMPLATEID;;;
COMMTEMPLATEDOCS;COMMTEMPLATEDOCSID;;;
COMMTMPLTSENDTO;COMMTMPLTSENDTOID;;;
CONDITION;CONDITIONID;;;
CTRLCONDITION;CTRLCONDITIONID;;;
CTRLCONDPROP;CTRLCONDPROPID;;;
CTRLGROUP;CTRLGROUPID;;;
DOCTYPES;DOCTYPESID;;;
EXPFUNCTIONS;EXPFUNCTIONSID;;;
L_COMMTEMPLATE;L_COMMTEMPLATEID;;;
L_CONDITION;L_CONDITIONID;;;
L_CTRLCONDPROP;L_CTRLCONDPROPID;;;
L_MAXAPPS;L_MAXAPPSID;;;
L_MAXLABELS;L_MAXLABELSID;;;
L_MAXMENU;L_MAXMENUID;;;
L_MAXMESSAGES;L_MAXMESSAGESID;;;
L_MAXMODULES;L_MAXMODULESID;;;
L_SIGOPTION;L_SIGOPTIONID;;;
LANGUAGE;LANGUAGEID;;;
LAUNCHPOINTVARS;LAUNCHPOINTVARSID;;;
LOGICALRELATIONSHIP;LOGICALRELATIONSHIPID;;;
LRKEYS;LRKEYSID;;;
LVCMSGINFO;LVCMSGINFOID;;;
LVCMSGINFODFLT;LVCMSGINFODFLTID;;;
MAXAPPS;MAXAPPSID;;;
MAXATTRIBUTESKIPCOPY;MAXATTRIBUTESKIPCOPYID;;;
MAXCONDDETAIL;MAXCONDDETAILID;;;
MAXCONTROLVALUE;MAXCONTROLVALUEID;;;
MAXDATAPREFIX;MAXDATAPREFIXID;;;
MAXDOMAINLINK;MAXDOMAINLINKID;;;
MAXDOMVALCOND;MAXDOMVALCONDID;;;
MAXDYNAMICDOMLINK;MAXDYNAMICDOMLINKID;;;
MAXINTERACTION;MAXINTERACTIONID;;;
MAXLABELS;MAXLABELSID;;;
MAXLOGAPPENDER;MAXLOGAPPENDERID;;;
MAXLOGGER;MAXLOGGERID;;;
MAXLOOKUPMAP;MAXLOOKUPMAPID;;;
MAXMENU;MAXMENUID;;;
MAXMESSAGES;MAXMESSAGESID;;;
MAXMODULES;MAXMODULESID;;;
MAXPRESENTATION;MAXPRESENTATIONID;;;
MAXRELATIONSHIP;MAXRELATIONSHIPID;;;
MAXROLE;MAXROLEID;;;
MAXSERVSECURITY;MAXSERVSECURITYID;;;
OBJECTAPPAUTH;OBJECTAPPAUTHID;;;
RELATEDAPPAUTH;RELATEDAPPAUTHID;;;
RELATEDWORKCENTER;RELATEDWORKCENTERID;;;
SCRIPTLAUNCHPOINT;SCRIPTLAUNCHPOINTID;;;
SECURITYRESTRICT;SECURITYRESTRICTID;;;
SIGOPTFLAG;SIGOPTFLAGID;;;
SIGOPTION;SIGOPTIONID;;;
USERPREF;USERPREFID;;;
WCRELATEDTEMPLATE;WCRELATEDTEMPLATEID;;;
WCTEMPLATEAUTH;WCTEMPLATEAUTHID;;;
WORKCENTERTEMPLATE;WORKCENTERTEMPLATEID;;;
WORKPRIORITY;WORKPRIORITYID;;;
WORKTYPE;WORKTYPEID;;;
EVENTRESPONSE;ERID;;;
ASYNCJOBOBJSNAP;ASYNCJOBOBJSNAPID;;;
