objectname;uid_list;comparing_field;where_clause;cleanup
CRONTASKDEF;CRONTASKDEFID;;;
CRONTASKINSTANCE;CRONTASKINSTANCEID;;;
CRONTASKPARAM;CRONTASKPARAMID;;;
ESCALATION;ESCALATIONID;;;
ESCNOTIFICATION;ESCNOTIFICATIONID;;;
ESCREFPOINT;REFPOINTID;;;
JSONATTRIBUTEMAP;JSONATTRIBUTEMAPID;;;
JSONMAPDETAIL;JSONMAPDETAILID;;;
JSONMAPPING;JSONMAPPINGID;;;
JSONMAPPROPS;JSONMAPPROPSID;;;
JSONMAPPROPVALUES;JSONMAPPROPVALUESID;;;
JSONMERGEATTRIBUTE;JSONMERGEATTRIBUTEID;;;
JSONMERGEOBJECT;JSONMERGEOBJECTID;;;
JSONOBJECTMAP;JSONOBJECTMAPID;;;
JSONRESOURCE;JSONRESOURCEID;;;
JSONRESOURCETYPE;JSONRESOURCETYPEID;;;
L_MAXINTOBJDETAIL;L_MAXINTOBJDETAILID;;;
L_MAXINTOBJECT;L_MAXINTOBJECTID;;;
L_OSLCQUERY;L_OSLCQUERYID;;;
L_REPORT;L_REPORTID;;;
L_REPORTDESIGN;L_REPORTDESIGNID;;;
L_REPORTLABEL;L_REPORTLABELID;;;
L_REPORTLOOKUP;L_REPORTLOOKUPID;;;
MAXENDPOINT;MAXENDPOINTID;;;
MAXENDPOINTDTL;MAXENDPOINTDTLID;;;
MAXEXTBOOLVAL;MAXEXTBOOLVALID;;;
MAXEXTCTLVAL;MAXEXTCTLVALID;;;
MAXEXTIFACEIN;MAXEXTIFACEINID;;;
MAXEXTIFACEOUT;MAXEXTIFACEOUTID;;;
MAXEXTLISTVAL;MAXEXTLISTVALID;;;
MAXEXTOVER;MAXEXTOVERID;;;
MAXEXTSYSCONTROL;MAXEXTSYSCONTROLID;;;
MAXEXTSYSTEM;MAXEXTSYSTEMID;;;
MAXEXTXREFVAL;MAXEXTXREFVALID;;;
MAXHANDLER;MAXHANDLERID;;;
MAXIFACECOND;MAXIFACECONDID;;;
MAXIFACECONTROL;MAXIFACECONTROLID;;;
MAXIFACEINCNTL;MAXIFACEINCNTLID;;;
MAXIFACEINDETAIL;MAXIFACEINDETAILID;;;
MAXIFACEOUT;MAXIFACEOUTID;;;
MAXIFACEOUTCNTL;MAXIFACEOUTCNTLID;;;
MAXIFACEPROC;MAXIFACEPROCID;;;
MAXIFACETYPEPROP;MAXIFACETYPEPROPID;;;
MAXIM;MAXIMID;;;
MAXIMPROP;MAXIMPROPID;;;
MAXINTERROR;MAXINTERRORID;;;
MAXINTERROREXTRACT;MAXINTERROREXTRACTID;;;
MAXINTERRORMSG;MAXINTERRORMSGID;;;
MAXINTLISTENER;MAXINTLISTENERID;;;
MAXINTMAPPING;MAXINTMAPPINGID;;;
MAXINTMAPPINGDETAIL;MAXINTMAPPINGDETAILID;;;
