objectname;uid_list;comparing_field;where_clause;cleanup
CRONTASKDEF;CRONTASKDEFID;;;cleanup
CRONTASKINSTANCE;CRONTASKINSTANCEID;;;cleanup
CRONTASKPARAM;CRONTASKPARAMID;;;cleanup
ESCALATION;ESCALATIONID;;;cleanup
ESCNOTIFICATION;ESCNOTIFICATIONID;;;cleanup
ESCREFPOINT;REFPOINTID;;;cleanup
JSONATTRIBUTEMAP;JSONATTRIBUTEMAPID;;;cleanup
JSONMAPDETAIL;JSONMAPDETAILID;;;cleanup
JSONMAPPING;JSONMAPPINGID;;;cleanup
JSONMAPPROPS;JSONMAPPROPSID;;;cleanup
JSONMAPPROPVALUES;JSONMAPPROPVALUESID;;;cleanup
JSONMERGEATTRIBUTE;JSONMERGEATTRIBUTEID;;;cleanup
JSONMERGEOBJECT;JSONMERGEOBJECTID;;;cleanup
JSONOBJECTMAP;JSONOBJECTMAPID;;;cleanup
JSONRESOURCE;JSONRESOURCEID;;;cleanup
JSONRESOURCETYPE;JSONRESOURCETYPEID;;;cleanup
L_MAXINTOBJDETAIL;L_MAXINTOBJDETAILID;;;cleanup
L_MAXINTOBJECT;L_MAXINTOBJECTID;;;cleanup
L_OSLCQUERY;L_OSLCQUERYID;;;cleanup
L_REPORT;L_REPORTID;;;cleanup
L_REPORTDESIGN;L_REPORTDESIGNID;;;cleanup
L_REPORTLABEL;L_REPORTLABELID;;;cleanup
L_REPORTLOOKUP;L_REPORTLOOKUPID;;;cleanup
MAXENDPOINT;MAXENDPOINTID;;;cleanup
MAXENDPOINTDTL;MAXENDPOINTDTLID;;;cleanup
MAXEXTBOOLVAL;MAXEXTBOOLVALID;;;cleanup
MAXEXTCTLVAL;MAXEXTCTLVALID;;;cleanup
MAXEXTIFACEIN;MAXEXTIFACEINID;;;cleanup
MAXEXTIFACEOUT;MAXEXTIFACEOUTID;;;cleanup
MAXEXTLISTVAL;MAXEXTLISTVALID;;;cleanup
MAXEXTOVER;MAXEXTOVERID;;;cleanup
MAXEXTSYSCONTROL;MAXEXTSYSCONTROLID;;;cleanup
MAXEXTSYSTEM;MAXEXTSYSTEMID;;;cleanup
MAXEXTXREFVAL;MAXEXTXREFVALID;;;cleanup
MAXHANDLER;MAXHANDLERID;;;cleanup
MAXIFACECOND;MAXIFACECONDID;;;cleanup
MAXIFACECONTROL;MAXIFACECONTROLID;;;cleanup
MAXIFACEINCNTL;MAXIFACEINCNTLID;;;cleanup
MAXIFACEINDETAIL;MAXIFACEINDETAILID;;;cleanup
MAXIFACEOUT;MAXIFACEOUTID;;;cleanup
MAXIFACEOUTCNTL;MAXIFACEOUTCNTLID;;;cleanup
MAXIFACEPROC;MAXIFACEPROCID;;;cleanup
MAXIFACETYPEPROP;MAXIFACETYPEPROPID;;;cleanup
MAXIM;MAXIMID;;;cleanup
MAXIMPROP;MAXIMPROPID;;;cleanup
MAXINTERROR;MAXINTERRORID;;;cleanup
MAXINTERROREXTRACT;MAXINTERROREXTRACTID;;;cleanup
MAXINTERRORMSG;MAXINTERRORMSGID;;;cleanup
MAXINTLISTENER;MAXINTLISTENERID;;;cleanup
MAXINTMAPPING;MAXINTMAPPINGID;;;cleanup
MAXINTMAPPINGDETAIL;MAXINTMAPPINGDETAILID;;;cleanup
MAXINTOBJALIAS;MAXINTOBJALIASID;;;cleanup
MAXINTOBJAPP;MAXINTOBJAPPID;;;cleanup
MAXINTOBJCOLS;MAXINTOBJCOLSID;;;cleanup
MAXINTOBJDETAIL;MAXINTOBJDETAILID;;;cleanup
MAXINTOBJECT;MAXINTOBJECTID;;;cleanup
MAXINTPOLICY;MAXINTPOLICYID;;;cleanup
MAXINTPOLICYPARAM;MAXINTPOLICYPARAMID;;;cleanup
MAXLAUNCHENTRY;MAXLAUNCHENTRYID;;;cleanup
MAXLECONTEXT;MAXLECONTEXTID;;;cleanup
MAXPROCCOLS;MAXPROCCOLSID;;;cleanup
MAXQUEUE;MAXQUEUEID;;;cleanup
MAXREPLACEPROC;MAXREPLACEPROCID;;;cleanup
MAXTRANSFORMPROC;MAXTRANSFORMPROCID;;;cleanup
MAXWSREGISTRY;MAXWSREGISTRYID;;;cleanup
OSLCBUSRES;OSLCBUSRESID;;;cleanup
OSLCEXTMEDIATYPE;OSLCEXTMEDIATYPEID;;;cleanup
OSLCQUERY;OSLCQUERYID;;;cleanup
REPORT;REPORTID;;;cleanup
REPORTADHOC;REPORTADHOCID;;;cleanup
REPORTADHOCCALC;REPORTADHOCCALCID;;;cleanup
REPORTADHOCFIELD;REPORTADHOCFIELDID;;;cleanup
REPORTADHOCSUM;REPORTADHOCSUMID;;;cleanup
REPORTAPPAUTH;REPORTAPPAUTHID;;;cleanup
REPORTATTACHDOCS;REPORTATTACHDOCSID;;;cleanup
REPORTAUTH;REPORTAUTHID;;;cleanup
