objectname;uid_list;comparing_field;where_clause;cleanup
DMCFGGROUP;DMCFGGROUPID;;;
DMCFGOBJECT;DMCFGOBJECTID;;;
DMCOLLAPPTOOLBAR;DMCOLLAPPTOOLBARID;;;
DMCOLLECTION;DMCOLLECTIONID;;;
DMCOLLECTIONEXPORT;DMCOLLECTIONEXPORTID;;;
DMCOLLECTIONOBJECT;DMCOLLECTIONOBJECTID;;;
DMCOLLECTIONRELOBJ;DMCOLLECTIONRELOBJID;;;
DMCOLLEVENTTRK;DMCOLLEVENTTRKID;;;
DMCOLLLOOKUPRULE;DMCOLLLOOKUPRULEID;;;
DMCOLLPACKAGEMAP;DMCOLLPACKAGEMAPID;;;
DMCOLLPKGEXCEPTION;DMCOLLPKGEXCEPTIONID;;;
DMCOLLRELRULE;DMCOLLRELRULEID;;;
DMCOLLRELRULECOLS;DMCOLLRELRULECOLSID;;;
DMCOMPJOB;DMCOMPJOBID;;;
DMCOMPRESRECORD;DMCOMPRESRECORDID;;;
DMCOMPRESULT;DMCOMPRESULTID;;;
DMDEPENDENCY;DMDEPENDENCYID;;;
DMERROR;DMERRORID;;;
DMMAPDEF;DMMAPDEFID;;;
DMMESSAGE;DMMESSAGEID;;;
DMPACKAGE;DMPACKAGEID;;;
DMPACKAGEDEF;DMPACKAGEDEFID;;;
DMPKGCFGGRPDEF;DMPKGCFGGRPDEFID;;;
DMPKGCFGOBJDEF;DMPKGCFGOBJDEFID;;;
DMPKGCMPSRC;DMPKGCMPSRCID;;;
DMPKGCMPSRCDEF;DMPKGCMPSRCDEFID;;;
DMPKGDEFSTATUS;DMPKGDEFSTATUSID;;;
DMPKGDIST;DMPKGDISTID;;;
DMPKGDISTTRACK;DMPKGDISTTRACKID;;;
DMPKGDSTTRGT;DMPKGDSTTRGTID;;;
DMPKGEVENTTRK;DMPKGEVENTTRKID;;;
DMPKGSTAGING;PKGDEFNAME,SOURCE,PACKAGE,TYPE,CFGDATAORDER;;;
DMPKGSTATUS;DMPKGSTATUSID;;;
DMPKGTRACKHIST;DMPKGTRACKHISTID;;;
DMRESTRICTION;DMRESTRICTIONID;;;
DMSAPISETTING;DMSAPISETTINGID;;;
L_DMCOLLAPPTOOLBAR;L_DMCOLLAPPTOOLBARID;;;
FACONFIG;FACONFIGID;;;
INBXCONFIG;INBXCONFIGID;;;
KPIGCONFIG;KPIGCONFIGID;;;
KPILCONFIG;KPILCONFIGID;;;
PORTLETDISPLAY;PORTLETDISPLAYID;;;
SCTEMPLATE;SCTEMPLATEID;;;
L_WFAPPTOOLBAR;L_WFAPPTOOLBARID;;;
WFACTION;WFACTIONID;;;
WFACTIVATION;WFACTIVATIONID;;;
WFAPPTOOLBAR;WFAPPTOOLBARID;;;
WFASGNGROUP;WFASGNGROUPID;;;
WFCONDITION;WFCONDITIONID;;;
WFINPUT;WFINPUTID;;;
WFINTERACTION;WFINTERACTIONID;;;
WFNODE;WFNODEID;;;
WFNOTIFICATION;NOTIFICATIONID;;;
WFPROCESS;WFPROCESSID;;;
WFREVISION;WFREVISIONID;;;
WFSTART;WFSTARTID;;;
WFSTOP;WFSTOPID;;;
WFSUBPROCESS;WFSUBPROCESSID;;;
WFTASK;WFTASKID;;;
WFWAITLIST;WFWAITLISTID;;;
WFASSIGNMENT;WFASSIGNMENTID;;;
WFCALLSTACK;WFCALLSTACKID;;;
WFINSTANCE;WFID;;;
WFTRANSACTION;TRANSID;;;
