objectname;uid_list;comparing_field;where_clause;cleanup
DMCFGGROUP;DMCFGGROUPID;;;cleanup
DMCFGOBJECT;DMCFGOBJECTID;;;cleanup
DMCOLLAPPTOOLBAR;DMCOLLAPPTOOLBARID;;;cleanup
DMCOLLECTION;DMCOLLECTIONID;;;cleanup
DMCOLLECTIONEXPORT;DMCOLLECTIONEXPORTID;;;cleanup
DMCOLLECTIONOBJECT;DMCOLLECTIONOBJECTID;;;cleanup
DMCOLLECTIONRELOBJ;DMCOLLECTIONRELOBJID;;;cleanup
DMCOLLEVENTTRK;DMCOLLEVENTTRKID;;;cleanup
DMCOLLLOOKUPRULE;DMCOLLLOOKUPRULEID;;;cleanup
DMCOLLPACKAGEMAP;DMCOLLPACKAGEMAPID;;;cleanup
DMCOLLPKGEXCEPTION;DMCOLLPKGEXCEPTIONID;;;cleanup
DMCOLLRELRULE;DMCOLLRELRULEID;;;cleanup
DMCOLLRELRULECOLS;DMCOLLRELRULECOLSID;;;cleanup
DMCOMPJOB;DMCOMPJOBID;;;cleanup
DMCOMPRESRECORD;DMCOMPRESRECORDID;;;cleanup
DMCOMPRESULT;DMCOMPRESULTID;;;cleanup
DMDEPENDENCY;DMDEPENDENCYID;;;cleanup
DMERROR;DMERRORID;;;cleanup
DMMAPDEF;DMMAPDEFID;;;cleanup
DMMESSAGE;DMMESSAGEID;;;cleanup
DMPACKAGE;DMPACKAGEID;;;cleanup
DMPACKAGEDEF;DMPACKAGEDEFID;;;cleanup
DMPKGCFGGRPDEF;DMPKGCFGGRPDEFID;;;cleanup
DMPKGCFGOBJDEF;DMPKGCFGOBJDEFID;;;cleanup
DMPKGCMPSRC;DMPKGCMPSRCID;;;cleanup
DMPKGCMPSRCDEF;DMPKGCMPSRCDEFID;;;cleanup
DMPKGDEFSTATUS;DMPKGDEFSTATUSID;;;cleanup
DMPKGDIST;DMPKGDISTID;;;cleanup
DMPKGDISTTRACK;DMPKGDISTTRACKID;;;cleanup
DMPKGDSTTRGT;DMPKGDSTTRGTID;;;cleanup
DMPKGEVENTTRK;DMPKGEVENTTRKID;;;cleanup
DMPKGSTAGING;PKGDEFNAME,SOURCE,PACKAGE,TYPE,CFGDATAORDER;;;cleanup
DMPKGSTATUS;DMPKGSTATUSID;;;cleanup
DMPKGTRACKHIST;DMPKGTRACKHISTID;;;cleanup
DMRESTRICTION;DMRESTRICTIONID;;;cleanup
DMSAPISETTING;DMSAPISETTINGID;;;cleanup
L_DMCOLLAPPTOOLBAR;L_DMCOLLAPPTOOLBARID;;;cleanup
FACONFIG;FACONFIGID;;;cleanup
INBXCONFIG;INBXCONFIGID;;;cleanup
KPIGCONFIG;KPIGCONFIGID;;;cleanup
KPILCONFIG;KPILCONFIGID;;;cleanup
PORTLETDISPLAY;PORTLETDISPLAYID;;;cleanup
SCTEMPLATE;SCTEMPLATEID;;;cleanup
L_WFAPPTOOLBAR;L_WFAPPTOOLBARID;;;cleanup
WFACTION;WFACTIONID;;;cleanup
WFACTIVATION;WFACTIVATIONID;;;cleanup
WFAPPTOOLBAR;WFAPPTOOLBARID;;;cleanup
WFASGNGROUP;WFASGNGROUPID;;;cleanup
WFCONDITION;WFCONDITIONID;;;cleanup
WFINPUT;WFINPUTID;;;cleanup
WFINTERACTION;WFINTERACTIONID;;;cleanup
WFNODE;WFNODEID;;;cleanup
WFNOTIFICATION;NOTIFICATIONID;;;cleanup
WFPROCESS;WFPROCESSID;;;cleanup
WFREVISION;WFREVISIONID;;;cleanup
WFSTART;WFSTARTID;;;cleanup
WFSTOP;WFSTOPID;;;cleanup
WFSUBPROCESS;WFSUBPROCESSID;;;cleanup
WFTASK;WFTASKID;;;cleanup
WFWAITLIST;WFWAITLISTID;;;cleanup
WFASSIGNMENT;WFASSIGNMENTID;;;cleanup
WFCALLSTACK;WFCALLSTACKID;;;cleanup
WFINSTANCE;WFID;;;cleanup
WFTRANSACTION;TRANSID;;;cleanup
