objectname;uid_list;comparing_field;where_clause;cleanup
ACTION;ACTIONID;;;
ACTIONGROUP;ACTIONGROUPID;;;
APIROUTE;APIROUTEID;;;
APPDOCTYPE;APPDOCTYPEID;;;
APPLICATIONAUTH;APPLICATIONAUTHID;;;
ATTRFORMULA;ATTRFORMULAID;;;
AUTOKEY;AUTOKEYID;;;
AUTOSCRIPT;AUTOSCRIPTID;;;
AUTOSCRIPTSTATE;AUTOSCRIPTSTATEID;;;
AUTOSCRIPTVARS;AUTOSCRIPTVARSID;;;
BUDGETANALYSISAXIS;BUDGETANALYSISAXISID;;;
COMMTEMPLATE;COMMTEMPLATEID;;;
COMMTEMPLATEDOCS;COMMTEMPLATEDOCSID;;;
COMMTMPLTSENDTO;COMMTMPLTSENDTOID;;;
CONDITION;CONDITIONID;;;
CTRLCONDITION;CTRLCONDITIONID;;;
CTRLCONDPROP;CTRLCONDPROPID;;;
CTRLGROUP;CTRLGROUPID;;;
DOCTYPES;DOCTYPESID;;;
EXPFUNCTIONS;EXPFUNCTIONSID;;;
FSNPROVIDER;PROVID;;;
KPIOEE;KPIOEEID;;;
KPITEMPLATE;KPITEMPLATEID;;;
KPITEMPLATEMAIN;KPITEMPLATEMAINID;;;
KPITEMPLATEVAR;KPITEMPLATEVARID;;;
KPITEMPLATEVARVALUE;KPITEMPLATEVARVALUEID;;;
KPITRENDCFG;KPITRENDCFGID;;;
L_COMMTEMPLATE;L_COMMTEMPLATEID;;;
L_CONDITION;L_CONDITIONID;;;
L_CTRLCONDPROP;L_CTRLCONDPROPID;;;
L_KPIMAIN;L_KPIMAINID;;;
L_MAXAPPS;L_MAXAPPSID;;;
L_MAXLABELS;L_MAXLABELSID;;;
L_MAXMENU;L_MAXMENUID;;;
L_MAXMESSAGES;L_MAXMESSAGESID;;;
L_MAXMODULES;L_MAXMODULESID;;;
L_SIGOPTION;L_SIGOPTIONID;;;
LANGUAGE;LANGUAGEID;;;
LAUNCHPOINTVARS;LAUNCHPOINTVARSID;;;
LOGICALRELATIONSHIP;LOGICALRELATIONSHIPID;;;
LRKEYS;LRKEYSID;;;
LVCMSGINFO;LVCMSGINFOID;;;
LVCMSGINFODFLT;LVCMSGINFODFLTID;;;
MAXAPPS;MAXAPPSID;;;
MAXATTRIBUTESKIPCOPY;MAXATTRIBUTESKIPCOPYID;;;
MAXCONDDETAIL;MAXCONDDETAILID;;;
MAXCONTROLVALUE;MAXCONTROLVALUEID;;;
MAXDATAPREFIX;MAXDATAPREFIXID;;;
MAXDOMAINLINK;MAXDOMAINLINKID;;;
MAXDOMVALCOND;MAXDOMVALCONDID;;;
MAXDYNAMICDOMLINK;MAXDYNAMICDOMLINKID;;;
MAXGROUP;MAXGROUPID;;;
MAXINTERACTION;MAXINTERACTIONID;;;
MAXLABELS;MAXLABELSID;;;
MAXLOGAPPENDER;MAXLOGAPPENDERID;;;
MAXLOGGER;MAXLOGGERID;;;
MAXLOOKUPMAP;MAXLOOKUPMAPID;;;
MAXMENU;MAXMENUID;;;
MAXMESSAGES;MAXMESSAGESID;;;
MAXMODULES;MAXMODULESID;;;
MAXPRESENTATION;MAXPRESENTATIONID;;;
MAXRELATIONSHIP;MAXRELATIONSHIPID;;;
MAXROLE;MAXROLEID;;;
MAXSERVSECURITY;MAXSERVSECURITYID;;;
OBJECTAPPAUTH;OBJECTAPPAUTHID;;;
ORGANIZATION;ORGANIZATIONID;;;
RELATEDAPPAUTH;RELATEDAPPAUTHID;;;
RELATEDWORKCENTER;RELATEDWORKCENTERID;;;
RESULTSETCOLS;RESULTSETCOLSID;;;
SCRIPTLAUNCHPOINT;SCRIPTLAUNCHPOINTID;;;
SECURITYRESTRICT;SECURITYRESTRICTID;;;
SIGOPTFLAG;SIGOPTFLAGID;;;
SIGOPTION;SIGOPTIONID;;;
SITE;SITEUID;;;
SITEAUTH;SITEAUTHID;;;
USERPREF;USERPREFID;;;
WCRELATEDTEMPLATE;WCRELATEDTEMPLATEID;;;
WCTEMPLATEAUTH;WCTEMPLATEAUTHID;;;
WORKCENTERTEMPLATE;WORKCENTERTEMPLATEID;;;
WORKPRIORITY;WORKPRIORITYID;;;
WORKTYPE;WORKTYPEID;;;
EVENTRESPONSE;ERID;;;
SETS;SETSID;;;
ASYNCJOBOBJSNAP;ASYNCJOBOBJSNAPID;;;
BBOARDAUDIENCE;BBOARDAUDIENCEID;;;
BBOARDMSGSTATUS;BBOARDMSGSTATUSID;;;
BILLTOSHIPTO;BILLTOSHIPTOID;;;
KPIMAIN;KPIMAINID;;;
