objectname;uid_list;comparing_field;where_clause;cleanup
L_WFAPPTOOLBAR;L_WFAPPTOOLBARID;;;
WFACTION;WFACTIONID;;;
WFACTIVATION;WFACTIVATIONID;;;
WFAPPTOOLBAR;WFAPPTOOLBARID;;;
WFASGNGROUP;WFASGNGROUPID;;;
WFCONDITION;WFCONDITIONID;;;
WFINPUT;WFINPUTID;;;
WFINTERACTION;WFINTERACTIONID;;;
WFNODE;WFNODEID;;;
WFNOTIFICATION;NOTIFICATIONID;;;
WFPROCESS;WFPROCESSID;;;
WFREVISION;WFREVISIONID;;;
WFSTART;WFSTARTID;;;
WFSTOP;WFSTOPID;;;
WFSUBPROCESS;WFSUBPROCESSID;;;
WFTASK;WFTASKID;;;
WFWAITLIST;WFWAITLISTID;;;
WFASSIGNMENT;WFASSIGNMENTID;;;
WFCALLSTACK;WFCALLSTACKID;;;
WFINSTANCE;WFID;;;
WFTRANSACTION;TRANSID;;;
