objectname;uid_list;comparing_field;where_clause;cleanup
MAXDOMAIN;MAXDOMAINID;MAXDOMAINID;;
MAXVIEWCFG;MAXVIEWID;MAXVIEWID;;
ALNDOMAIN;ALNDOMAINID;ALNDOMAINID;;
MAXVIEW;MAXVIEWID;MAXVIEWID;;
SYNONYMDOMAIN;SYNONYMDOMAINID;SYNONYMDOMAINID;;
L_SYNONYMDOMAIN;L_SYNONYMDOMAINID;L_SYNONYMDOMAINID;;
NUMRANGEDOMAIN;NUMRANGEDOMAINID;NUMRANGEDOMAINID;;
MAXSYSKEYS;MAXSYSKEYSID;MAXSYSKEYSID;;
MAXOBJECTCFG;MAXOBJECTID;MAXOBJECTID;;
MAXTABLE;MAXTABLEID;MAXTABLEID;;
L_MAXDOMAIN;L_MAXDOMAINID;L_MAXDOMAINID;;
L_ALNDOMAIN;L_ALNDOMAINID;L_ALNDOMAINID;;
L_NUMERICDOMAIN;L_NUMERICDOMAINID;L_NUMERICDOMAINID;;
MAXSERVICE;MAXSERVICEID;MAXSERVICEID;;
NUMERICDOMAIN;NUMERICDOMAINID;NUMERICDOMAINID;;
MAXSYSINDEXES;MAXSYSINDEXESID;MAXSYSINDEXESID;;
OSLCDOMAIN;OSLCDOMAINID;OSLCDOMAINID;;
MAXATTRIBUTECFG;MAXATTRIBUTEID;MAXATTRIBUTEID;;
L_MAXATTRCFG;L_MAXATTRCFGID;L_MAXATTRCFGID;;
L_MAXATTRIBUTE;L_MAXATTRIBUTEID;L_MAXATTRIBUTEID;;
L_MAXOBJECT;L_MAXOBJECTID;L_MAXOBJECTID;;
L_MAXOBJECTCFG;L_MAXOBJECTCFGID;L_MAXOBJECTCFGID;;
L_MAXSERVICE;L_MAXSERVICEID;L_MAXSERVICEID;;
CROSSOVERDOMAIN;CROSSOVERDOMAINID;CROSSOVERDOMAINID;;
MAXTABLECFG;MAXTABLEID;MAXTABLEID;;
MAXVIEWCOLUMNCFG;MAXVIEWCOLUMNID;MAXVIEWCOLUMNID;;
MAXATTRIBUTE;MAXATTRIBUTEID;MAXATTRIBUTEID;;
MAXVIEWCOLUMN;MAXVIEWCOLUMNID;MAXVIEWCOLUMNID;;
MAXTABLEDOMAIN;MAXTABLEDOMAINID;MAXTABLEDOMAINID;;
MAXOBJECT;MAXOBJECTID;MAXOBJECTID;;
SERVICEOBJECT;SERVICEOBJECT;SERVICEOBJECT;;
