objectname;uid_list;comparing_field;where_clause;cleanup
CRONTASKHISTORY;CRONTASKHISTORYID;;;
ESCSTATUS;ESCSTATUSID;;;
KPIHISTORY;KPIHISTORYID;;;
LOGINTRACKING;LOGINTRACKINGID;;;
REPORTLISTCFG;REPORTLISTCFGID;;;
REPORTUSAGELOG;REPORTUSAGELOGID;;;
MAXINTERROR;MAXINTERRORID;;;
MAXINTERRORMSG;MAXINTERRORMSGID;;;
MAXLICUSAGE;MAXLICUSAGEID;;;
MAXLICUSGSMRY;MAXLICUSGSMRYID;;;
MAXINTMSGTRK;MAXINTMSGTRKID;;;
MAXINTMSGTRKDTL;MAXINTMSGTRKDTLID;;;
REPORTHYPERLINKQUERYURL;REPORTHYPERLINKQUERYURLID;;;
REPORTWHERE;REPORTWHEREID;;;
BULLETINBOARD;BULLETINBOARDUID;;;
ESCREPEATTRACK;OWNERID,REFPOINTID;;;
INBOUNDCOMM;INBOUNDCOMMID;;;
BBSTATUSHISTORY;BBSTATUSHISTORYID;;;
