objectname;uid_list;comparing_field;where_clause;cleanup
CRONTASKHISTORY;CRONTASKHISTORYID;;;cleanup
ESCSTATUS;ESCSTATUSID;;;cleanup
KPIHISTORY;KPIHISTORYID;;;cleanup
LOGINTRACKING;LOGINTRACKINGID;;;cleanup
REPORTLISTCFG;REPORTLISTCFGID;;;cleanup
REPORTUSAGELOG;REPORTUSAGELOGID;;;cleanup
MAXINTERROR;MAXINTERRORID;;;cleanup
MAXINTERRORMSG;MAXINTERRORMSGID;;;cleanup
MAXLICUSAGE;MAXLICUSAGEID;;;cleanup
MAXLICUSGSMRY;MAXLICUSGSMRYID;;;cleanup
MAXINTMSGTRK;MAXINTMSGTRKID;;;cleanup
MAXINTMSGTRKDTL;MAXINTMSGTRKDTLID;;;cleanup
REPORTHYPERLINKQUERYURL;REPORTHYPERLINKQUERYURLID;;;cleanup
REPORTWHERE;REPORTWHEREID;;;cleanup
BULLETINBOARD;BULLETINBOARDUID;;;cleanup
ESCREPEATTRACK;OWNERID,REFPOINTID;;;cleanup
INBOUNDCOMM;INBOUNDCOMMID;;;cleanup
BBSTATUSHISTORY;BBSTATUSHISTORYID;;;cleanup
