psdi\$;class$ru$interprocom$axioma$prime$
com\$ibm\$tivoli\$maximo;ru$interprocom$axioma$mix
com\$ibm\$tivoli\$oslc;ru$interprocom$axioma$oslc
com\$ibm\$ism\$script;ru$interprocom$axioma$script
com\$ibm\$cloudsmart\$anywhere;ru$interprocom$axioma$aw
com\$ibm\$json;ru$interprocom$json
psdi.;ru.interprocom.axioma.prime.
com.ibm.tivoli.maximo;ru.interprocom.axioma.mix
com.ibm.tivoli.oslc;ru.interprocom.axioma.oslc
com.ibm.ism.script;ru.interprocom.axioma.script
com.ibm.cloudsmart.anywhere;ru.interprocom.axioma.aw
com.ibm.json;ru.interprocom.json
http://www.ibm.com/maximo;https://www.interprocom.ru/axioma
